Open,High,Low,Close,Volume,Returns,Volume_MA_20,Price_MA_20,Price_MA_5,Volatility_20,RSI,ticker,date,sentiment_mean,sentiment_std,news_count,sentiment_pos_mean,sentiment_pos_max,sentiment_neg_mean,sentiment_neg_max,sentiment_neutral_mean,returns_1d,returns_5d,volatility_5d,volume_ratio,sentiment_1d_lag,sentiment_3d_avg,sentiment_5d_avg,news_count_3d,price_above_ma20,price_above_ma5,rsi_overbought,rsi_oversold,target_1d,target_5d,target_1d_binary
176.2900014242933,176.83964771384632,171.4118681394032,171.6866912841797,94537600,-0.0266000076822376,,,,,,AAPL,2022-01-05,-0.9100152,0.0,1.0,0.027132211,0.027132211,0.93714744,0.93714744,0.035720374,-0.0126914548690949,,,,0.02061126,,,,0,0,0,0,-0.01669327163221,0.003765316202746702,0
169.50773661732023,172.05968310015797,168.46733250526367,168.8206787109375,96904000,-0.01669327163221,,,,,,AAPL,2022-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0266000076822376,,,,-0.9100152,-0.29646798844138783,,2.0,0,0,0,0,0.0009884459561568,0.0014306061810617013,1
169.69424129913546,170.92113587009246,167.86862157848182,168.987548828125,86709100,0.0009884459561568,,,172.90378112792968,,,AAPL,2022-01-07,0.008793967,0.0,1.0,0.017842561,0.017842561,0.009048594,0.009048594,0.9731088,-0.01669327163221,,,,0.0,-0.29646798844138783,,2.0,0,0,0,0,0.0001162101093223,0.0055526440569190014,1
165.95467253383114,169.31145435336728,165.06148967296951,169.00718688964844,106765600,0.0001162101093223,,,170.97609252929686,,,AAPL,2022-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009884459561568,,,,0.008793967,-0.3004070861885945,-0.1761219996958971,2.0,0,0,0,0,0.0167837736450386,-0.013457704460846398,1
169.13478740187807,171.94190783972073,167.66251389723809,171.84376525878906,76138300,0.0167837736450386,,,170.06917419433594,,,AAPL,2022-01-11,-0.9004294,0.0,1.0,0.038441155,0.038441155,0.9388706,0.9388706,0.02268833,0.0001162101093223,-0.0548800781180634,0.011682515659361669,,0.0,0.0029313222815593085,-0.1761219996958971,1.0,0,1,0,0,0.002570158124439,-0.0512661379834549,1
172.86452151388104,173.90492564658769,171.58856322387598,172.28543090820312,74805200,0.002570158124439,,,170.1889221191406,,,AAPL,2022-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167837736450386,-0.0254048496039299,0.016880684507506134,,-0.9004294,-0.2972118202596903,-0.36033013723790647,2.0,0,1,0,0,-0.019027981653895,-0.06418337563772909,0
172.53082457713552,173.35529415174287,168.6145716326397,169.00718688964844,84505800,-0.019027981653895,,,170.22622375488282,,,AAPL,2022-01-13,0.008793967,0.0,1.0,0.017842561,0.017842561,0.009048594,0.009048594,0.9731088,0.002570158124439,0.003765316202746702,0.011886137906356262,,0.0,-0.3001431425412496,-0.17832709215581416,1.0,0,0,0,0,0.0051104838320141,-0.0579205117905029,1
168.1728627813742,170.56776300627916,167.9274839054903,169.8708953857422,80440800,0.0051104838320141,,,170.40289306640625,,,AAPL,2022-01-14,-0.9195132,0.0,1.0,0.024457537,0.024457537,0.94397074,0.94397074,0.03157182,-0.019027981653895,0.0014306061810617013,0.012756822290074531,,0.008793967,-0.2972118202596903,-0.17656829878687857,2.0,0,0,0,0,-0.0188941384084431,-0.0678954729441493,0
168.33971425733603,169.3506740016402,166.27854073936825,166.6613311767578,90956700,-0.0188941384084431,,,169.93372192382813,,,AAPL,2022-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051104838320141,0.0055526440569190014,0.012945356647807112,,-0.9195132,-0.303573086236914,-0.36222973726689817,2.0,0,0,0,0,-0.0210246598775699,-0.0603858473082821,0
166.85765136543813,167.91769000661554,162.87270044087128,163.15733337402344,94815000,-0.0210246598775699,,,168.196435546875,,,AAPL,2022-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0188941384084431,-0.013457704460846398,0.015789620053195248,,0.0,-0.303573086236914,-0.36222973726689817,2.0,0,0,0,0,-0.0103470795298352,-0.039924635628602295,0
163.8934762825247,166.54356549753263,161.14522951347425,161.46913146972656,91420500,-0.0103470795298352,,,166.03317565917968,,,AAPL,2022-01-20,0.017955966,0.0,1.0,0.029235339,0.029235339,0.0112793725,0.0112793725,0.9594853,-0.0210246598775699,-0.0512661379834549,0.012924475347379066,,0.0,-0.3065044085184733,-0.1821438517421484,1.0,0,0,0,0,-0.0127651178066688,-0.032520606596747194,0
